image,threshold,artifact_pixels,artifact_ratio,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
Abyssinian_143.jpg,0.247358,7396,0.028214,118,422,203,507
Abyssinian_144.jpg,0.363555,7225,0.027561,235,359,319,443
Abyssinian_145.jpg,0.273451,7224,0.027557,2,308,87,391
Abyssinian_146.jpg,0.392564,7140,0.027237,55,174,139,257
Abyssinian_148.jpg,0.374468,7310,0.027885,151,54,236,138
Abyssinian_149.jpg,0.169745,7396,0.028214,352,419,437,504
Abyssinian_15.jpg,0.342593,7396,0.028214,88,212,173,297
Abyssinian_150.jpg,0.341007,7396,0.028214,157,283,242,368
Abyssinian_151.jpg,0.333573,7310,0.027885,156,234,240,319
Abyssinian_152.jpg,0.198383,7396,0.028214,324,420,409,505
Abyssinian_153.jpg,0.382099,7310,0.027885,132,167,217,251
Abyssinian_154.jpg,0.362871,7396,0.028214,334,244,419,329
Abyssinian_155.jpg,0.333324,7396,0.028214,137,219,222,304
Abyssinian_156.jpg,0.221494,7224,0.027557,5,427,90,510
Abyssinian_157.jpg,0.320801,7396,0.028214,285,279,370,364
Abyssinian_158.jpg,0.339776,7310,0.027885,204,186,288,271
Abyssinian_159.jpg,0.161846,7052,0.026901,345,97,430,178
Abyssinian_16.jpg,0.382558,7056,0.026917,70,61,153,144
Abyssinian_160.jpg,0.294431,7396,0.028214,240,415,325,500
Abyssinian_161.jpg,0.168376,5160,0.019684,42,451,127,510
Abyssinian_164.jpg,0.185678,7396,0.028214,5,366,90,451
Abyssinian_165.jpg,0.242298,7396,0.028214,310,295,395,380
Abyssinian_166.jpg,0.272107,7396,0.028214,84,138,169,223
Abyssinian_167.jpg,0.302997,7396,0.028214,62,322,147,407
Abyssinian_168.jpg,0.169890,4221,0.016102,214,51,280,113
Abyssinian_169.jpg,0.281025,7396,0.028214,61,382,146,467
Abyssinian_17.jpg,0.209032,7396,0.028214,49,380,134,465
Abyssinian_170.jpg,0.302117,7396,0.028214,249,213,334,298
Abyssinian_172.jpg,0.161122,1798,0.006859,103,251,164,279
Abyssinian_173.jpg,0.381120,6468,0.024673,353,279,429,362
Abyssinian_174.jpg,0.287802,5246,0.020012,83,421,168,481
Abyssinian_175.jpg,0.421743,7140,0.027237,283,243,366,327
Abyssinian_176.jpg,0.415706,7140,0.027237,288,97,371,181
Abyssinian_177.jpg,0.267205,7396,0.028214,311,175,396,260
Abyssinian_178.jpg,0.276337,7396,0.028214,221,94,306,179
Abyssinian_179.jpg,0.258517,4386,0.016731,331,459,416,509
Abyssinian_18.jpg,0.432479,7056,0.026917,206,16,289,99
Abyssinian_180.jpg,0.348482,7396,0.028214,41,333,126,418
Abyssinian_181.jpg,0.283590,7396,0.028214,178,230,263,315
Abyssinian_182.jpg,0.307465,7396,0.028214,15,394,100,479
Abyssinian_183.jpg,0.264421,7396,0.028214,145,292,230,377
Abyssinian_184.jpg,0.275360,7396,0.028214,200,341,285,426
Abyssinian_185.jpg,0.353523,7310,0.027885,223,226,307,311
Abyssinian_19.jpg,0.317544,7396,0.028214,101,264,186,349
Abyssinian_190.jpg,0.285446,6880,0.026245,65,187,144,272
Abyssinian_191.jpg,0.297261,7396,0.028214,195,354,280,439
Abyssinian_192.jpg,0.406992,7056,0.026917,135,149,218,232
Abyssinian_193.jpg,0.315350,7310,0.027885,23,197,107,282
Abyssinian_195.jpg,0.167135,7396,0.028214,50,168,135,253
Abyssinian_196.jpg,0.196297,7396,0.028214,40,4,125,89
Abyssinian_197.jpg,0.330562,7310,0.027885,80,321,165,405
Abyssinian_2.jpg,0.407924,7140,0.027237,29,20,113,103
Abyssinian_20.jpg,0.231658,5418,0.020668,277,435,362,497
Abyssinian_201.jpg,0.399346,7225,0.027561,44,422,128,506
Abyssinian_202.jpg,0.263135,7396,0.028214,325,52,410,137
Abyssinian_204.jpg,0.251918,7396,0.028214,48,144,133,229
Abyssinian_205.jpg,0.301951,7396,0.028214,184,59,269,144
Abyssinian_206.jpg,0.261009,7396,0.028214,317,54,402,139
Abyssinian_207.jpg,0.150472,4644,0.017715,217,457,302,510
Abyssinian_21.jpg,0.323444,7396,0.028214,196,186,281,271
Abyssinian_210.jpg,0.355785,7055,0.026913,311,34,393,118
Abyssinian_212.jpg,0.307893,7396,0.028214,294,284,379,369
Abyssinian_213.jpg,0.331092,7310,0.027885,292,293,376,378
Abyssinian_215.jpg,0.268263,7396,0.028214,72,46,157,131
Abyssinian_216.jpg,0.328552,6708,0.025589,40,103,117,188
Abyssinian_217.jpg,0.385803,7310,0.027885,149,299,234,383
Abyssinian_219.jpg,0.443386,7056,0.026917,133,88,216,171
Abyssinian_22.jpg,0.365891,7396,0.028214,24,129,109,214
Abyssinian_220.jpg,0.288867,7396,0.028214,148,120,233,205
Abyssinian_221.jpg,0.242263,7396,0.028214,292,143,377,228
Abyssinian_223.jpg,0.356047,6622,0.025261,157,212,233,297
Abyssinian_224.jpg,0.366409,7140,0.027237,139,31,223,114
Abyssinian_225.jpg,0.279792,7396,0.028214,349,334,434,419
Abyssinian_226.jpg,0.215529,7396,0.028214,318,168,403,253
Abyssinian_228.jpg,0.340519,7310,0.027885,289,182,373,267
Abyssinian_230.jpg,0.195138,5504,0.020996,228,447,313,510
Abyssinian_232.jpg,0.301577,7396,0.028214,83,98,168,183
Abyssinian_24.jpg,0.284681,7396,0.028214,271,239,356,324
Abyssinian_25.jpg,0.353175,7224,0.027557,131,178,214,263
Abyssinian_26.jpg,0.430376,7140,0.027237,321,38,404,122
Abyssinian_27.jpg,0.231299,7396,0.028214,32,128,117,213
Abyssinian_29.jpg,0.251904,7396,0.028214,72,421,157,506
Abyssinian_3.jpg,0.386248,7310,0.027885,215,156,299,241
Abyssinian_30.jpg,0.435539,7140,0.027237,174,219,258,302
Abyssinian_31.jpg,0.264450,7396,0.028214,345,258,430,343
Abyssinian_32.jpg,0.190496,4816,0.018372,215,455,300,510
Abyssinian_33.jpg,0.410458,7056,0.026917,35,422,118,505
Abyssinian_34.jpg,0.369875,7225,0.027561,266,79,350,163
Abyssinian_36.jpg,0.245210,7396,0.028214,47,133,132,218
Abyssinian_37.jpg,0.304731,7396,0.028214,42,247,127,332
Abyssinian_4.jpg,0.452996,7056,0.026917,252,306,335,389
Abyssinian_40.jpg,0.335819,7310,0.027885,323,327,407,412
Abyssinian_43.jpg,0.346485,5124,0.019547,133,450,216,510
Abyssinian_44.jpg,0.341942,7056,0.026917,49,215,132,298
Abyssinian_45.jpg,0.350666,7396,0.028214,311,408,396,493
Abyssinian_46.jpg,0.337675,7396,0.028214,289,232,374,317
Abyssinian_47.jpg,0.227160,5934,0.022636,124,442,209,510
Abyssinian_48.jpg,0.247302,7396,0.028214,242,423,327,508
Abyssinian_49.jpg,0.200948,4902,0.018700,264,454,349,510
Abyssinian_5.jpg,0.416271,6972,0.026596,271,3,354,85
Abyssinian_50.jpg,0.274322,7396,0.028214,182,212,267,297
Abyssinian_51.jpg,0.282921,7396,0.028214,306,221,391,306
Abyssinian_52.jpg,0.294956,7310,0.027885,67,59,151,144
Abyssinian_54.jpg,0.325099,4872,0.018585,140,453,223,510
Abyssinian_55.jpg,0.273047,4988,0.019028,220,453,305,510
Abyssinian_56.jpg,0.275395,7396,0.028214,277,394,362,479
Abyssinian_57.jpg,0.252382,7396,0.028214,323,42,408,127
Abyssinian_58.jpg,0.299388,7396,0.028214,169,392,254,477
Abyssinian_6.jpg,0.426880,7056,0.026917,94,403,177,486
Abyssinian_60.jpg,0.417738,7056,0.026917,210,88,293,171
Abyssinian_61.jpg,0.377409,7225,0.027561,220,134,304,218
Abyssinian_62.jpg,0.446714,7056,0.026917,321,319,404,402
Abyssinian_63.jpg,0.369338,7310,0.027885,303,107,387,192
Abyssinian_65.jpg,0.353427,7056,0.026917,262,16,345,99
Abyssinian_66.jpg,0.201466,4992,0.019043,150,202,227,265
Abyssinian_67.jpg,0.353646,7225,0.027561,228,409,312,493
Abyssinian_68.jpg,0.422706,7056,0.026917,273,321,356,404
Abyssinian_69.jpg,0.347101,7225,0.027561,297,219,381,303
Abyssinian_7.jpg,0.292977,6278,0.023949,270,438,355,510
Abyssinian_70.jpg,0.432384,7056,0.026917,324,6,407,89
Abyssinian_71.jpg,0.332806,7225,0.027561,40,107,124,191
Abyssinian_72.jpg,0.393218,7225,0.027561,259,91,343,175
Abyssinian_73.jpg,0.358253,7310,0.027885,164,104,248,189
Abyssinian_74.jpg,0.409905,7056,0.026917,317,44,400,127
Abyssinian_75.jpg,0.325883,7310,0.027885,339,250,424,334
Abyssinian_76.jpg,0.163392,3162,0.012062,224,409,285,459
Abyssinian_77.jpg,0.262477,7396,0.028214,74,150,159,235
Abyssinian_78.jpg,0.226861,7396,0.028214,310,289,395,374
Abyssinian_79.jpg,0.320711,7396,0.028214,142,164,227,249
Abyssinian_8.jpg,0.458325,7056,0.026917,23,145,106,228
Abyssinian_80.jpg,0.313642,7396,0.028214,109,238,194,323
Abyssinian_81.jpg,0.382047,7056,0.026917,292,347,375,430
Abyssinian_82.jpg,0.170187,1798,0.006859,66,155,127,183
Abyssinian_83.jpg,0.395423,7140,0.027237,350,256,433,340
Abyssinian_84.jpg,0.280033,7396,0.028214,153,180,238,265
Abyssinian_85.jpg,0.345463,7310,0.027885,217,391,302,475
Abyssinian_86.jpg,0.301862,7396,0.028214,88,181,173,266
Abyssinian_87.jpg,0.316876,7396,0.028214,147,416,232,501
Abyssinian_88.jpg,0.202833,7396,0.028214,343,415,428,500
Abyssinian_89.jpg,0.353903,7225,0.027561,72,34,156,118
Abyssinian_9.jpg,0.343377,7396,0.028214,213,237,298,322
Abyssinian_90.jpg,0.289182,7310,0.027885,134,392,219,476
Abyssinian_91.jpg,0.336228,7310,0.027885,3,269,88,353
Abyssinian_92.jpg,0.333554,7310,0.027885,1,25,86,109
Abyssinian_93.jpg,0.233014,7396,0.028214,15,53,100,138
Abyssinian_94.jpg,0.371845,7310,0.027885,182,405,267,489
Abyssinian_95.jpg,0.271138,7396,0.028214,81,386,166,471
Abyssinian_96.jpg,0.252361,7396,0.028214,343,414,428,499
Abyssinian_97.jpg,0.293861,7396,0.028214,244,48,329,133
Abyssinian_98.jpg,0.232010,7396,0.028214,29,140,114,225
Abyssinian_99.jpg,0.386275,7056,0.026917,281,418,364,501
Bengal_1.jpg,0.311143,7396,0.028214,229,83,314,168
Bengal_10.jpg,0.319113,7396,0.028214,212,73,297,158
Bengal_100.jpg,0.257018,7396,0.028214,160,154,245,239
Bengal_101.jpg,0.349891,7310,0.027885,351,191,435,276
Bengal_102.jpg,0.360826,4788,0.018265,102,454,185,510
Bengal_103.jpg,0.286619,7396,0.028214,308,177,393,262
Bengal_104.jpg,0.273773,7396,0.028214,96,378,181,463
Bengal_105.jpg,0.365975,7056,0.026917,285,117,368,200
Bengal_106.jpg,0.323794,7396,0.028214,145,282,230,367
Bengal_107.jpg,0.165757,6241,0.023808,354,131,432,209
Bengal_108.jpg,0.256974,7140,0.027237,284,343,368,426
Bengal_109.jpg,0.206284,5504,0.020996,58,410,143,473
Bengal_11.jpg,0.289354,7396,0.028214,247,10,332,95
Bengal_110.jpg,0.311809,7396,0.028214,344,181,429,266
Bengal_111.jpg,0.195831,7396,0.028214,77,417,162,502
Bengal_112.jpg,0.230674,7396,0.028214,164,37,249,122
Bengal_113.jpg,0.363443,7225,0.027561,355,303,439,387
Bengal_114.jpg,0.333536,7396,0.028214,102,304,187,389
Bengal_115.jpg,0.331759,7310,0.027885,3,292,88,376
Bengal_116.jpg,0.327285,7396,0.028214,179,134,264,219
Bengal_117.jpg,0.325146,7396,0.028214,237,348,322,433
Bengal_118.jpg,0.170798,6364,0.024277,339,197,412,282
Bengal_119.jpg,0.379095,7140,0.027237,136,191,219,275
Bengal_12.jpg,0.320560,7396,0.028214,324,347,409,432
Bengal_120.jpg,0.163012,7396,0.028214,303,425,388,510
Bengal_121.jpg,0.278005,7396,0.028214,66,357,151,442
Bengal_122.jpg,0.289923,7396,0.028214,287,397,372,482
Bengal_123.jpg,0.344080,5780,0.022049,283,183,367,250
Bengal_124.jpg,0.294991,7396,0.028214,55,113,140,198
Bengal_125.jpg,0.221503,7396,0.028214,19,121,104,206
Bengal_126.jpg,0.330074,7224,0.027557,216,427,301,510
Bengal_127.jpg,0.333210,7396,0.028214,317,387,402,472
Bengal_128.jpg,0.260133,7396,0.028214,144,37,229,122
Bengal_129.jpg,0.304846,7396,0.028214,349,63,434,148
Bengal_13.jpg,0.293514,7396,0.028214,120,95,205,180
Bengal_130.jpg,0.303060,7396,0.028214,306,73,391,158
Bengal_131.jpg,0.230420,7396,0.028214,286,261,371,346
Bengal_132.jpg,0.330714,7396,0.028214,297,122,382,207
Bengal_133.jpg,0.186957,7396,0.028214,22,112,107,197
Bengal_134.jpg,0.299072,7396,0.028214,246,373,331,458
Bengal_135.jpg,0.231448,7396,0.028214,16,343,101,428
Bengal_136.jpg,0.160904,6708,0.025589,352,220,429,305
Bengal_137.jpg,0.369344,7138,0.027229,238,428,323,510
Bengal_138.jpg,0.206434,5418,0.020668,35,385,120,447
Bengal_139.jpg,0.268110,7140,0.027237,55,76,138,160
Bengal_14.jpg,0.328215,7396,0.028214,269,103,354,188
Bengal_140.jpg,0.364013,7140,0.027237,235,198,319,281
Bengal_141.jpg,0.241363,7396,0.028214,30,403,115,488
Bengal_142.jpg,0.279284,7396,0.028214,183,20,268,105
Bengal_143.jpg,0.330337,7396,0.028214,317,299,402,384
Bengal_144.jpg,0.295171,7396,0.028214,188,89,273,174
Bengal_145.jpg,0.429343,7056,0.026917,56,147,139,230
Bengal_146.jpg,0.229671,7396,0.028214,254,400,339,485
Bengal_147.jpg,0.252940,7138,0.027229,184,428,269,510
Bengal_148.jpg,0.167934,3978,0.015175,34,140,111,190
Bengal_149.jpg,0.180644,7396,0.028214,297,351,382,436
Bengal_15.jpg,0.334701,7396,0.028214,147,341,232,426
Bengal_150.jpg,0.364268,7225,0.027561,120,383,204,467
Bengal_151.jpg,0.261686,7396,0.028214,115,141,200,226
Bengal_152.jpg,0.160158,5762,0.021980,323,444,408,510
Bengal_153.jpg,0.204909,7396,0.028214,121,199,206,284
Bengal_154.jpg,0.270974,7396,0.028214,335,152,420,237
Bengal_155.jpg,0.367543,7396,0.028214,51,380,136,465
Bengal_156.jpg,0.208455,7396,0.028214,8,28,93,113
Bengal_157.jpg,0.295788,7396,0.028214,179,195,264,280
Bengal_158.jpg,0.219728,7396,0.028214,16,343,101,428
Bengal_159.jpg,0.424653,7056,0.026917,295,272,378,355
Bengal_16.jpg,0.196036,7396,0.028214,19,363,104,448
Bengal_160.jpg,0.459372,7056,0.026917,63,8,146,91
Bengal_161.jpg,0.320707,7396,0.028214,21,387,106,472
Bengal_162.jpg,0.267936,5074,0.019356,25,452,110,510
Bengal_163.jpg,0.235702,7396,0.028214,103,232,188,317
Bengal_164.jpg,0.237308,7396,0.028214,156,40,241,125
Bengal_165.jpg,0.254286,7396,0.028214,159,157,244,242
Bengal_166.jpg,0.165270,7396,0.028214,16,72,101,157
Bengal_167.jpg,0.337915,7310,0.027885,166,277,250,362
Bengal_168.jpg,0.281565,7396,0.028214,352,350,437,435
Bengal_169.jpg,0.171136,7396,0.028214,251,55,336,140
Bengal_17.jpg,0.283210,7396,0.028214,329,10,414,95
Bengal_170.jpg,0.305447,7396,0.028214,353,176,438,261
Bengal_171.jpg,0.262504,7396,0.028214,217,331,302,416
Bengal_172.jpg,0.353175,7140,0.027237,102,106,185,190
Bengal_173.jpg,0.301666,7396,0.028214,138,274,223,359
Bengal_174.jpg,0.227585,7396,0.028214,311,80,396,165
Bengal_175.jpg,0.257021,7396,0.028214,136,33,221,118
Bengal_176.jpg,0.352604,7140,0.027237,37,32,120,116
Bengal_177.jpg,0.162657,5504,0.020996,284,80,369,143
Bengal_178.jpg,0.295634,7396,0.028214,147,352,232,437
Bengal_179.jpg,0.272358,7396,0.028214,260,141,345,226
Bengal_18.jpg,0.221910,7224,0.027557,3,427,88,510
Bengal_180.jpg,0.259461,5074,0.019356,184,452,269,510
Bengal_182.jpg,0.321200,7396,0.028214,354,364,439,449
Bengal_183.jpg,0.233458,4558,0.017387,140,458,225,510
Bengal_184.jpg,0.292648,7396,0.028214,132,100,217,185
Bengal_185.jpg,0.486690,7056,0.026917,77,359,160,442
Bengal_186.jpg,0.350711,7310,0.027885,239,323,323,408
Bengal_187.jpg,0.386373,7225,0.027561,100,218,184,302
Bengal_188.jpg,0.267737,7396,0.028214,142,117,227,202
Bengal_189.jpg,0.184873,7396,0.028214,334,141,419,226
Bengal_19.jpg,0.485270,6888,0.026276,60,429,143,510
Bengal_190.jpg,0.306543,7396,0.028214,34,159,119,244
Bengal_191.jpg,0.269550,7396,0.028214,244,332,329,417
Bengal_192.jpg,0.320710,7396,0.028214,316,40,401,125
Bengal_193.jpg,0.313426,4472,0.017059,84,459,169,510
Bengal_194.jpg,0.308602,7396,0.028214,138,421,223,506
Bengal_195.jpg,0.320060,7396,0.028214,114,255,199,340
Bengal_196.jpg,0.385903,7056,0.026917,47,152,130,235
Bengal_197.jpg,0.306459,7396,0.028214,126,243,211,328
Bengal_198.jpg,0.169936,1798,0.006859,29,175,90,203
Bengal_199.jpg,0.174424,6020,0.022964,236,416,305,501
Bengal_2.jpg,0.180219,7396,0.028214,297,59,382,144
Bengal_20.jpg,0.279609,6552,0.024994,297,52,374,135
Bengal_200.jpg,0.261091,7396,0.028214,190,255,275,340
Bengal_201.jpg,0.423415,7056,0.026917,28,331,111,414
Bengal_21.jpg,0.424105,7140,0.027237,325,137,409,220
Bengal_22.jpg,0.301795,7396,0.028214,138,245,223,330
Bengal_23.jpg,0.293977,7396,0.028214,248,92,333,177
Bengal_24.jpg,0.293661,7396,0.028214,51,18,136,103
Bengal_25.jpg,0.213007,7396,0.028214,20,86,105,171
Bengal_26.jpg,0.342149,6966,0.026573,291,208,376,288
Bengal_27.jpg,0.157290,4386,0.016731,18,458,103,508
Bengal_28.jpg,0.376469,7224,0.027557,217,333,300,418
Bengal_29.jpg,0.235119,6364,0.024277,202,437,287,510
Bengal_3.jpg,0.207827,7396,0.028214,22,187,107,272
Bengal_30.jpg,0.325029,7396,0.028214,315,321,400,406
Bengal_31.jpg,0.330377,7396,0.028214,294,313,379,398
Bengal_32.jpg,0.212482,7396,0.028214,272,2,357,87
Bengal_33.jpg,0.377077,7310,0.027885,183,330,268,414
Bengal_34.jpg,0.267289,7396,0.028214,316,194,401,279
Bengal_35.jpg,0.264760,7396,0.028214,196,63,281,148
Bengal_36.jpg,0.471766,7056,0.026917,194,33,277,116
Bengal_37.jpg,0.252228,7396,0.028214,153,76,238,161
Bengal_38.jpg,0.310990,7310,0.027885,337,411,421,496
Bengal_39.jpg,0.318978,7396,0.028214,146,125,231,210
Bengal_4.jpg,0.333966,7396,0.028214,334,138,419,223
Bengal_40.jpg,0.422909,7056,0.026917,38,108,121,191
Bengal_41.jpg,0.381775,7056,0.026917,229,131,312,214
Bengal_42.jpg,0.261955,7396,0.028214,50,61,135,146
Bengal_43.jpg,0.166110,7310,0.027885,99,426,184,510
Bengal_44.jpg,0.226838,7396,0.028214,267,270,352,355
Bengal_45.jpg,0.298994,7396,0.028214,281,259,366,344
Bengal_46.jpg,0.240052,7396,0.028214,197,129,282,214
Bengal_47.jpg,0.339799,7396,0.028214,143,232,228,317
Bengal_48.jpg,0.286101,7396,0.028214,218,292,303,377
Bengal_49.jpg,0.344223,7396,0.028214,231,264,316,349
Bengal_5.jpg,0.212804,7224,0.027557,80,427,165,510
Bengal_50.jpg,0.368148,7310,0.027885,276,289,360,374
Bengal_51.jpg,0.199956,7396,0.028214,206,201,291,286
Bengal_52.jpg,0.285818,7396,0.028214,52,260,137,345
Bengal_53.jpg,0.200539,4988,0.019028,320,453,405,510
Bengal_54.jpg,0.296786,7396,0.028214,94,295,179,380
Bengal_55.jpg,0.207499,7310,0.027885,311,426,396,510
Bengal_56.jpg,0.302325,7396,0.028214,24,180,109,265
Bengal_57.jpg,0.334255,7310,0.027885,347,299,431,384
Bengal_58.jpg,0.353093,7396,0.028214,282,114,367,199
Bengal_59.jpg,0.367856,6552,0.024994,8,277,85,360
Bengal_6.jpg,0.314872,7396,0.028214,244,358,329,443
Bengal_60.jpg,0.320143,7310,0.027885,284,116,368,201
Bengal_61.jpg,0.348834,7310,0.027885,158,422,243,506
Bengal_62.jpg,0.297180,7396,0.028214,136,204,221,289
Bengal_63.jpg,0.365440,7310,0.027885,158,408,242,493
Bengal_64.jpg,0.231123,7396,0.028214,154,15,239,100
Bengal_65.jpg,0.271696,7396,0.028214,93,132,178,217
Bengal_66.jpg,0.347278,7310,0.027885,158,98,243,182
Bengal_67.jpg,0.331672,7396,0.028214,241,372,326,457
Bengal_68.jpg,0.204122,7396,0.028214,78,388,163,473
Bengal_69.jpg,0.290930,7396,0.028214,66,335,151,420
Bengal_7.jpg,0.384981,7310,0.027885,169,310,253,395
Bengal_70.jpg,0.192373,4816,0.018372,186,455,271,510
Bengal_71.jpg,0.379757,7225,0.027561,302,96,386,180
Bengal_72.jpg,0.205820,7396,0.028214,289,327,374,412
Bengal_73.jpg,0.290375,7396,0.028214,85,209,170,294
Bengal_74.jpg,0.309623,7396,0.028214,5,272,90,357
Bengal_75.jpg,0.198406,7396,0.028214,41,280,126,365
Bengal_76.jpg,0.330070,7396,0.028214,202,293,287,378
Bengal_77.jpg,0.289610,7396,0.028214,97,138,182,223
Bengal_78.jpg,0.342157,7396,0.028214,291,6,376,91
Bengal_79.jpg,0.242711,7396,0.028214,296,155,381,240
Bengal_8.jpg,0.329943,6970,0.026588,31,110,112,194
Bengal_80.jpg,0.397881,7225,0.027561,10,257,94,341
Bengal_81.jpg,0.269978,7396,0.028214,95,25,180,110
Bengal_82.jpg,0.328927,7310,0.027885,234,1,319,85
Bengal_83.jpg,0.257573,5246,0.020012,127,450,212,510
Bengal_84.jpg,0.284202,7396,0.028214,344,115,429,200
Bengal_85.jpg,0.367274,7225,0.027561,101,290,185,374
Bengal_86.jpg,0.236562,7396,0.028214,32,144,117,229
Bengal_87.jpg,0.299866,7310,0.027885,247,186,331,271
Bengal_88.jpg,0.449695,7056,0.026917,96,189,179,272
Bengal_89.jpg,0.412103,7056,0.026917,106,275,189,358
Bengal_9.jpg,0.296485,4620,0.017624,302,456,385,510
Bengal_90.jpg,0.308683,7396,0.028214,204,383,289,468
Bengal_91.jpg,0.350724,7310,0.027885,83,189,168,273
Bengal_92.jpg,0.340386,7225,0.027561,356,347,440,431
Bengal_93.jpg,0.254423,5676,0.021652,74,169,159,234
Bengal_94.jpg,0.183041,7396,0.028214,7,399,92,484
Bengal_95.jpg,0.169144,1798,0.006859,88,174,149,202
Bengal_96.jpg,0.277307,7396,0.028214,61,405,146,490
Bengal_97.jpg,0.206878,5418,0.020668,169,334,254,396
Bengal_98.jpg,0.193885,7396,0.028214,347,344,432,429
Bengal_99.jpg,0.416465,6132,0.023392,355,438,438,510
Birman_1.jpg,0.173445,7396,0.028214,298,64,383,149
Birman_10.jpg,0.233473,7396,0.028214,273,70,358,155
Birman_100.jpg,0.226656,7396,0.028214,309,219,394,304
Birman_101.jpg,0.337059,7310,0.027885,318,207,402,292
Birman_102.jpg,0.413757,7056,0.026917,141,42,224,125
Birman_103.jpg,0.382495,7310,0.027885,249,286,333,371
Birman_104.jpg,0.293529,4505,0.017185,105,458,189,510
Birman_105.jpg,0.315714,5504,0.020996,221,447,306,510
Birman_106.jpg,0.210646,7396,0.028214,100,397,185,482
Birman_107.jpg,0.195581,7396,0.028214,50,164,135,249
Birman_108.jpg,0.379959,7310,0.027885,183,180,267,265
Birman_109.jpg,0.312455,7396,0.028214,155,61,240,146
Birman_11.jpg,0.242249,7396,0.028214,175,288,260,373
Birman_110.jpg,0.298111,7396,0.028214,112,305,197,390
Birman_111.jpg,0.225083,7396,0.028214,271,318,356,403
Birman_112.jpg,0.183970,4816,0.018372,287,455,372,510
Birman_113.jpg,0.306813,7396,0.028214,17,342,102,427
Birman_114.jpg,0.397121,7225,0.027561,243,328,327,412
Birman_115.jpg,0.305346,7396,0.028214,96,132,181,217
Birman_116.jpg,0.346910,7396,0.028214,180,182,265,267
Birman_117.jpg,0.284070,7396,0.028214,342,307,427,392
Birman_118.jpg,0.358796,7224,0.027557,344,239,427,324
